TIMESTAMP,TA_F_MDS,TA_F_MDS_QC,TA_F_MDS_NIGHT,TA_F_MDS_NIGHT_SD,TA_F_MDS_NIGHT_QC,TA_F_MDS_DAY,TA_F_MDS_DAY_SD,TA_F_MDS_DAY_QC,TA_ERA,TA_ERA_NIGHT,TA_ERA_NIGHT_SD,TA_ERA_DAY,TA_ERA_DAY_SD,TA_F,TA_F_QC,TA_F_NIGHT,TA_F_NIGHT_SD,TA_F_NIGHT_QC,TA_F_DAY,TA_F_DAY_SD,TA_F_DAY_QC,SW_IN_POT,SW_IN_F_MDS,SW_IN_F_MDS_QC,SW_IN_ERA,SW_IN_F,SW_IN_F_QC,LW_IN_F_MDS,LW_IN_F_MDS_QC,LW_IN_ERA,LW_IN_F,LW_IN_F_QC,LW_IN_JSB,LW_IN_JSB_QC,LW_IN_JSB_ERA,LW_IN_JSB_F,LW_IN_JSB_F_QC,VPD_F_MDS,VPD_F_MDS_QC,VPD_ERA,VPD_F,VPD_F_QC,PA_ERA,PA_F,PA_F_QC,P_ERA,P_F,P_F_QC,WS_ERA,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,CO2_F_MDS,CO2_F_MDS_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,LE_CORR_JOINTUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,H_CORR_JOINTUNC,EBC_CF_N,EBC_CF_METHOD,NIGHT_D,DAY_D,NIGHT_RANDUNC_N,DAY_RANDUNC_N,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_REF_JOINTUNC,NEE_VUT_USTAR50,NEE_VUT_USTAR50_QC,NEE_VUT_USTAR50_RANDUNC,NEE_VUT_USTAR50_JOINTUNC,NEE_VUT_MEAN,NEE_VUT_MEAN_QC,NEE_VUT_SE,NEE_VUT_05,NEE_VUT_16,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_84,NEE_VUT_95,NEE_VUT_05_QC,NEE_VUT_16_QC,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,NEE_VUT_84_QC,NEE_VUT_95_QC,NEE_VUT_REF_NIGHT,NEE_VUT_REF_NIGHT_SD,NEE_VUT_REF_NIGHT_QC,NEE_VUT_REF_NIGHT_RANDUNC,NEE_VUT_REF_NIGHT_JOINTUNC,NEE_VUT_REF_DAY,NEE_VUT_REF_DAY_SD,NEE_VUT_REF_DAY_QC,NEE_VUT_REF_DAY_RANDUNC,NEE_VUT_REF_DAY_JOINTUNC,NEE_VUT_USTAR50_NIGHT,NEE_VUT_USTAR50_NIGHT_SD,NEE_VUT_USTAR50_NIGHT_QC,NEE_VUT_USTAR50_NIGHT_RANDUNC,NEE_VUT_USTAR50_NIGHT_JOINTUNC,NEE_VUT_USTAR50_DAY,NEE_VUT_USTAR50_DAY_SD,NEE_VUT_USTAR50_DAY_QC,NEE_VUT_USTAR50_DAY_RANDUNC,NEE_VUT_USTAR50_DAY_JOINTUNC,NEE_VUT_05_NIGHT,NEE_VUT_16_NIGHT,NEE_VUT_25_NIGHT,NEE_VUT_50_NIGHT,NEE_VUT_75_NIGHT,NEE_VUT_84_NIGHT,NEE_VUT_95_NIGHT,NEE_VUT_05_NIGHT_QC,NEE_VUT_16_NIGHT_QC,NEE_VUT_25_NIGHT_QC,NEE_VUT_50_NIGHT_QC,NEE_VUT_75_NIGHT_QC,NEE_VUT_84_NIGHT_QC,NEE_VUT_95_NIGHT_QC,NEE_VUT_05_DAY,NEE_VUT_16_DAY,NEE_VUT_25_DAY,NEE_VUT_50_DAY,NEE_VUT_75_DAY,NEE_VUT_84_DAY,NEE_VUT_95_DAY,NEE_VUT_05_DAY_QC,NEE_VUT_16_DAY_QC,NEE_VUT_25_DAY_QC,NEE_VUT_50_DAY_QC,NEE_VUT_75_DAY_QC,NEE_VUT_84_DAY_QC,NEE_VUT_95_DAY_QC,RECO_NT_VUT_REF,RECO_NT_VUT_USTAR50,RECO_NT_VUT_MEAN,RECO_NT_VUT_SE,RECO_NT_VUT_05,RECO_NT_VUT_16,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,RECO_NT_VUT_84,RECO_NT_VUT_95,GPP_NT_VUT_REF,GPP_NT_VUT_USTAR50,GPP_NT_VUT_MEAN,GPP_NT_VUT_SE,GPP_NT_VUT_05,GPP_NT_VUT_16,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,GPP_NT_VUT_84,GPP_NT_VUT_95,RECO_DT_VUT_REF,RECO_DT_VUT_USTAR50,RECO_DT_VUT_MEAN,RECO_DT_VUT_SE,RECO_DT_VUT_05,RECO_DT_VUT_16,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,RECO_DT_VUT_84,RECO_DT_VUT_95,GPP_DT_VUT_REF,GPP_DT_VUT_USTAR50,GPP_DT_VUT_MEAN,GPP_DT_VUT_SE,GPP_DT_VUT_05,GPP_DT_VUT_16,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,GPP_DT_VUT_84,GPP_DT_VUT_95,RECO_SR,RECO_SR_N
20080101,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-15.854,-15.854,3.053,-9999,-9999,-15.854,0.0,-15.854,3.053,0.0,-9999,-9999,-9999,0.0,-9999,-9999,0.0,0.0,0.0,-9999,-9999,213.562,213.562,0.0,-9999,-9999,211.849,211.849,0.0,-9999,-9999,0.0,0.0,0.0,101.373,101.373,0.0,0.368,0.368,0.0,4.421,4.421,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,1.0,19.9856,-9999,-9999,-9999,-9999,-9999,-9999,21.8605,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,48,0,0,0,0.614512,0.0,-9999,-9999,0.614512,0.0,-9999,-9999,0.577374,0.0,0.00606353,0.526202,0.530584,0.532223,0.564006,0.614512,0.616487,0.635386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.592172,0.4695,0.0,-9999,-9999,-9999,-9999,0.0,-9999,-9999,0.592172,0.4695,0.0,-9999,-9999,-9999,-9999,0.0,-9999,-9999,0.507073,0.511296,0.512875,0.543502,0.592172,0.594076,0.612288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.617468,0.625017,0.587749,0.0112366,0.364608,0.533461,0.576962,0.616747,0.619187,0.622494,0.633157,-0.0136658,0.010505,0.0103745,0.0137239,-0.231462,-0.0658688,-0.0263606,0.00798261,0.0763396,0.0861142,0.0929856,0.887942,0.913225,0.913838,0.00655436,0.864795,0.881264,0.882351,0.911349,0.917337,0.921587,1.00804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
20080102,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-16.662,-16.662,7.972,-9999,-9999,-16.662,0.0,-16.662,7.972,0.0,-9999,-9999,-9999,0.0,-9999,-9999,0.0,0.0,0.0,-9999,-9999,230.721,230.721,0.0,-9999,-9999,229.971,229.971,0.0,-9999,-9999,0.0,0.0,0.0,102.168,102.168,0.0,2.786,2.786,0.0,5.377,5.377,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,1.0,19.8871,-9999,-9999,-9999,-9999,-9999,-9999,22.8302,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,48,0,0,0,0.644325,0.0,-9999,-9999,0.644325,0.0,-9999,-9999,0.680745,0.0,0.00782681,0.625,0.644325,0.652321,0.675477,0.681811,0.716492,0.77955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.620902,0.404901,0.0,-9999,-9999,-9999,-9999,0.0,-9999,-9999,0.620902,0.404901,0.0,-9999,-9999,-9999,-9999,0.0,-9999,-9999,0.602279,0.620902,0.628607,0.650922,0.657025,0.690445,0.751211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.605726,0.611266,0.584201,0.00786442,0.430966,0.537442,0.568335,0.605199,0.606984,0.60941,0.617971,-0.0729701,-0.0330589,-0.096544,0.0136025,-0.348174,-0.149177,-0.109863,-0.0736792,-0.0530732,-0.0349154,-0.0239937,0.836091,0.859898,0.860475,0.00617162,0.814296,0.829804,0.830827,0.858132,0.86377,0.867772,0.949177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9999,-9999
20080103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.434,-3.414,0.362,-3.881,0.016,-3.434,0.0,-3.414,0.362,0.0,-3.881,0.016,0.0,0.0200037,-9999,-9999,0.046,0.046,0.0,-9999,-9999,299.713,299.713,0.0,-9999,-9999,302.84,302.84,0.0,-9999,-9999,0.0,0.0,0.0,101.315,101.315,0.0,1.716,1.716,0.0,6.553,6.553,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,1.0,22.9204,-9999,-9999,-9999,-9999,-9999,-9999,24.7447,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,46,2,0,0,0.653368,0.0,-9999,-9999,0.653368,0.0,-9999,-9999,0.660011,0.0,0.00205897,0.636733,0.651569,0.653368,0.659041,0.666301,0.668804,0.680299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.640267,0.303243,0.0,-9999,-9999,0.384657,0.0690949,0.0,-9999,-9999,0.640267,0.303243,0.0,-9999,-9999,0.384657,0.0690949,0.0,-9999,-9999,0.623539,0.638457,0.640267,0.648164,0.652464,0.655788,0.667347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.282929,0.383679,0.384657,0.384657,0.384657,0.384657,0.460932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31675,1.31582,1.30721,0.00416729,1.25121,1.25515,1.31472,1.31664,1.31684,1.31786,1.34076,0.647418,0.66245,0.6472,0.00404624,0.58885,0.614479,0.636538,0.656633,0.661351,0.66276,0.679912,1.44369,1.4848,1.48579,0.0106566,1.40605,1.43283,1.4346,1.48175,1.49148,1.49839,1.63895,0.00263688,0.00290079,0.0029224,0.00010937,0.00226953,0.00253899,0.00254338,0.00269638,0.00288567,0.00290079,0.00482317,-9999,-9999
20080104,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.882,-0.901,0.683,-0.595,0.006,-0.882,0.0,-0.901,0.683,0.0,-0.595,0.006,0.0,0.0930502,-9999,-9999,0.01,0.01,0.0,-9999,-9999,310.436,310.436,0.0,-9999,-9999,314.165,314.165,0.0,-9999,-9999,0.0,0.0,0.0,100.911,100.911,0.0,6.168,6.168,0.0,8.697,8.697,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,1.0,19.9856,-9999,-9999,-9999,-9999,-9999,-9999,21.8605,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,45,3,0,0,0.614512,0.0,-9999,-9999,0.614512,0.0,-9999,-9999,0.577374,0.0,0.00606353,0.526202,0.530584,0.532223,0.564006,0.614512,0.616487,0.635386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.651195,0.347676,0.0,-9999,-9999,-0.29317,1.12545,0.0,-9999,-9999,0.651195,0.347676,0.0,-9999,-9999,-0.29317,1.12545,0.0,-9999,-9999,0.560423,0.566612,0.581488,0.596058,0.651195,0.653225,0.663548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.541579,-0.541579,-0.29317,-0.29317,-0.29317,-0.29317,0.299799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46275,1.45898,1.46338,0.0060829,1.39335,1.41456,1.45893,1.46275,1.46313,1.46837,1.5325,0.825232,0.84447,0.886007,0.00927629,0.79003,0.825187,0.833705,0.899103,0.932549,0.935038,0.936142,1.54267,1.5866,1.58766,0.0113873,1.50246,1.53107,1.53296,1.58334,1.59374,1.60113,1.75133,0.000667819,0.000737174,0.000747668,3.17055e-05,0.0005677,0.0006406,0.00064166,0.000679277,0.000735422,0.000737174,0.00130141,-9999,-9999
20080105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.3,-3.288,0.444,-3.485,0.025,-3.3,0.0,-3.288,0.444,0.0,-3.485,0.025,0.0,0.204818,-9999,-9999,0.091,0.091,0.0,-9999,-9999,287.792,287.792,0.0,-9999,-9999,290.249,290.249,0.0,-9999,-9999,0.0,0.0,0.0,101.092,101.092,0.0,1.475,1.475,0.0,6.582,6.582,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,1.0,19.8871,-9999,-9999,-9999,-9999,-9999,-9999,22.8302,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,45,3,0,0,0.644325,0.0,-9999,-9999,0.644325,0.0,-9999,-9999,0.680745,0.0,0.00782681,0.625,0.644325,0.652321,0.675477,0.681811,0.716492,0.77955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.646638,0.391308,0.0,-9999,-9999,0.234867,0.495571,0.0,-9999,-9999,0.646638,0.391308,0.0,-9999,-9999,0.234867,0.495571,0.0,-9999,-9999,0.626773,0.646638,0.654856,0.681454,0.685852,0.714202,0.748095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0111439,0.234867,0.234867,0.234867,0.234867,0.334085,0.797957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32442,1.32335,1.31538,0.00415652,1.25868,1.26348,1.32208,1.3243,1.32453,1.3257,1.35234,0.642008,0.679028,0.634639,0.0108108,0.470533,0.580481,0.622484,0.64502,0.673383,0.679102,0.727411,1.44898,1.49024,1.49124,0.0106957,1.41121,1.43808,1.43985,1.48718,1.49695,1.50388,1.64496,0.00525796,0.00578374,0.00582614,0.000217457,0.00452675,0.00506319,0.00507194,0.00537725,0.00575323,0.00578374,0.009605,-9999,-9999
20080106,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-8.226,-8.268,4.458,-7.755,0.757,-8.226,0.0,-8.268,4.458,0.0,-7.755,0.757,0.0,0.35354,-9999,-9999,0.314,0.314,0.0,-9999,-9999,236.913,236.913,0.0,-9999,-9999,236.512,236.512,0.0,-9999,-9999,0.0,0.0,0.0,101.304,101.304,0.0,0.492,0.492,0.0,5.829,5.829,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,1.0,22.9204,-9999,-9999,-9999,-9999,-9999,-9999,24.7447,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,44,4,0,0,0.653368,0.0,-9999,-9999,0.653368,0.0,-9999,-9999,0.660011,0.0,0.00205897,0.636733,0.651569,0.653368,0.659041,0.666301,0.668804,0.680299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.658262,0.29644,0.0,-9999,-9999,0.314513,0.136721,0.0,-9999,-9999,0.658262,0.29644,0.0,-9999,-9999,0.314513,0.136721,0.0,-9999,-9999,0.640774,0.653343,0.6578,0.66106,0.673221,0.675222,0.686573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.215571,0.314513,0.314513,0.314513,0.314513,0.331619,0.469153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04147,1.04459,1.02055,0.00709277,0.883369,0.965462,0.98489,1.04117,1.04218,1.04355,1.0483,0.374425,0.391219,0.360542,0.0071811,0.221976,0.30011,0.348462,0.37655,0.386076,0.39018,0.391261,1.23716,1.27239,1.27324,0.00913212,1.20491,1.22786,1.22937,1.26977,1.27812,1.28404,1.40449,0.0148727,0.0162865,0.0163,0.000515338,0.0130178,0.0143931,0.0144191,0.0153172,0.0161603,0.0163256,0.0251848,-9999,-9999
20080107,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-18.496,-18.516,2.526,-18.277,0.24,-18.496,0.0,-18.516,2.526,0.0,-18.277,0.24,0.0,0.539689,-9999,-9999,0.34,0.34,0.0,-9999,-9999,195.725,195.725,0.0,-9999,-9999,193.011,193.011,0.0,-9999,-9999,0.0,0.0,0.0,100.929,100.929,0.0,0.132,0.132,0.0,4.295,4.295,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,19.9856,-9999,-9999,-9999,-9999,-9999,-9999,21.8605,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,44,4,0,0,0.614512,0.0,-9999,-9999,0.614512,0.0,-9999,-9999,0.577374,0.0,0.00606353,0.526202,0.530584,0.532223,0.564006,0.614512,0.616487,0.635386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6522,0.35163,0.0,-9999,-9999,-0.0681331,1.02323,0.0,-9999,-9999,0.6522,0.35163,0.0,-9999,-9999,-0.0681331,1.02323,0.0,-9999,-9999,0.559365,0.565694,0.580908,0.602043,0.6522,0.654277,0.664833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25444,-0.25444,-0.0681331,-0.0681331,-0.0681331,-0.0681331,0.295982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.480216,0.488292,0.451737,0.0109646,0.236765,0.40066,0.446063,0.479447,0.482053,0.48559,0.493696,-0.150625,-0.12622,-0.125637,0.0134194,-0.359305,-0.198669,-0.157259,-0.128922,-0.0614911,-0.0511893,-0.0441489,0.758388,0.779983,0.780506,0.00559806,0.738619,0.752685,0.753613,0.778381,0.783495,0.787124,0.860964,0.0161427,0.0176782,0.0176927,0.000560002,0.0141265,0.0156213,0.0156496,0.0166238,0.0175418,0.0177206,0.0273479,-9999,-9999
20080108,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-25.201,-25.08,1.338,-26.247,0.093,-25.201,0.0,-25.08,1.338,0.0,-26.247,0.093,0.0,0.76436,-9999,-9999,0.616,0.616,0.0,-9999,-9999,174.161,174.161,0.0,-9999,-9999,170.235,170.235,0.0,-9999,-9999,0.0,0.0,0.0,100.738,100.738,0.0,0.069,0.069,0.0,3.053,3.053,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,1.0,19.8871,-9999,-9999,-9999,-9999,-9999,-9999,22.8302,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,43,5,0,0,0.644325,0.0,-9999,-9999,0.644325,0.0,-9999,-9999,0.680745,0.0,0.00782681,0.625,0.644325,0.652321,0.675477,0.681811,0.716492,0.77955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66916,0.368935,0.0,-9999,-9999,0.205885,0.506788,0.0,-9999,-9999,0.66916,0.368935,0.0,-9999,-9999,0.205885,0.506788,0.0,-9999,-9999,0.648371,0.66916,0.675433,0.70594,0.710784,0.730567,0.747824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0295774,0.205885,0.205885,0.205885,0.225903,0.34539,0.780341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.190703,0.197124,0.173788,0.00669973,0.0489469,0.140194,0.173369,0.190097,0.192154,0.194964,0.1982,-0.487507,-0.447201,-0.506957,0.0123056,-0.730193,-0.559389,-0.511498,-0.488702,-0.469028,-0.449361,-0.438823,0.423689,0.435753,0.436046,0.00312747,0.412645,0.420503,0.421021,0.434858,0.437715,0.439743,0.480995,0.0257193,0.0280975,0.0280459,0.000809712,0.0227127,0.0249559,0.0250022,0.0265873,0.0278272,0.0281669,0.0419295,-9999,-9999
20080109,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-22.041,-22.207,0.981,-20.616,0.066,-22.041,0.0,-22.207,0.981,0.0,-20.616,0.066,0.0,1.02897,-9999,-9999,0.363,0.363,0.0,-9999,-9999,208.247,208.247,0.0,-9999,-9999,206.236,206.236,0.0,-9999,-9999,0.0,0.0,0.0,100.46,100.46,0.0,0.069,0.069,0.0,2.691,2.691,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,1.0,22.9204,-9999,-9999,-9999,-9999,-9999,-9999,24.7447,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,43,5,0,0,0.653368,0.0,-9999,-9999,0.653368,0.0,-9999,-9999,0.660011,0.0,0.00205897,0.636733,0.651569,0.653368,0.659041,0.666301,0.668804,0.680299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667114,0.294005,0.0,-9999,-9999,0.307133,0.119548,0.0,-9999,-9999,0.667114,0.294005,0.0,-9999,-9999,0.307133,0.119548,0.0,-9999,-9999,0.64922,0.657465,0.665772,0.669474,0.683719,0.688784,0.696677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.181746,0.302032,0.302032,0.307133,0.307133,0.321578,0.509763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.312132,0.319934,0.288449,0.00927791,0.110784,0.244741,0.286904,0.311392,0.313902,0.317317,0.322369,-0.352288,-0.333435,-0.371562,0.00949496,-0.550609,-0.42156,-0.367493,-0.351936,-0.343264,-0.337667,-0.333329,0.580621,0.597153,0.597554,0.00428586,0.565485,0.576254,0.576964,0.595927,0.599842,0.602621,0.659152,0.0181308,0.0198775,0.0199225,0.00065758,0.0158012,0.0175235,0.0175549,0.0186387,0.0197415,0.0199244,0.0312852,-9999,-9999
20080110,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-19.462,-19.524,1.386,-19.031,0.197,-19.462,0.0,-19.524,1.386,0.0,-19.031,0.197,0.0,1.33522,-9999,-9999,0.06,0.06,0.0,-9999,-9999,241.793,241.793,0.0,-9999,-9999,241.666,241.666,0.0,-9999,-9999,0.0,0.0,0.0,100.599,100.599,0.0,0.757,0.757,0.0,2.469,2.469,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,1.0,19.9856,-9999,-9999,-9999,-9999,-9999,-9999,21.8605,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,42,6,0,0,0.614512,0.0,-9999,-9999,0.614512,0.0,-9999,-9999,0.577374,0.0,0.00606353,0.526202,0.530584,0.532223,0.564006,0.614512,0.616487,0.635386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667418,0.347541,0.0,-9999,-9999,0.0654562,0.837338,0.0,-9999,-9999,0.667418,0.347541,0.0,-9999,-9999,0.0654562,0.837338,0.0,-9999,-9999,0.600554,0.606529,0.607185,0.638454,0.667418,0.669593,0.680652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.306554,-0.306554,-0.149779,0.0654562,0.0654562,0.0654562,0.292563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.430017,0.438261,0.402132,0.0108084,0.191431,0.352295,0.398218,0.429232,0.431891,0.435501,0.442674,-0.200731,-0.176251,-0.175242,0.0132576,-0.404639,-0.247035,-0.205104,-0.179011,-0.111872,-0.101405,-0.0943112,0.71067,0.730906,0.731396,0.00524582,0.692145,0.705326,0.706195,0.729405,0.734197,0.737598,0.806792,0.00375998,0.00414662,0.00419709,0.00017194,0.00320735,0.00361055,0.00361664,0.00383011,0.00413336,0.00414662,0.00719621,-9999,-9999
